x,y,type,name
22.1921338,41.7393286,supermarket,Тер Маркет
22.1910694,41.7463008,supermarket,Пакет Маркет 27
22.1864366,41.7472866,supermarket,Текома Магацин
22.1799554,41.751114,supermarket,KIT-GO Магацин
22.1752605,41.7567982,supermarket,Set Union Магацин Пакет Маркет
22.1761927,41.7569135,supermarket,Хит Маркет Магацин
20.8114425,41.1093692,supermarket,KAM Market
20.8127862,41.1096865,supermarket,Discount Tinex
20.8130481,41.1095503,supermarket,Tinex ohrid 2
20.8144718,41.117125,supermarket,ВИПС
20.8141538,41.1177316,supermarket,Marando ohrid
20.8223449,41.121722,supermarket,Don Market
20.81112,41.12286,supermarket,Tinex
20.7815067,41.1219875,supermarket,Tamaro
20.7829591,41.1232307,supermarket,Skor
22.1881355,41.7356982,supermarket,ХИТ Маркет
22.1920509,41.7368407,supermarket,Тинекс
22.1927503,41.7369788,supermarket,ХИТ Маркет
22.1931572,41.7371532,supermarket,KAM
22.1941597,41.7344453,supermarket,БоБи
22.198854,41.7354588,supermarket,КИТ-ГО
20.6117918,41.2633703,department_store,Fej-Daf kompani (magacin)
20.5958701,41.2683315,supermarket,Нуредини 2016 (2)
20.5948705,41.2690711,supermarket,Нуредини 2016
20.6507625,41.1507147,supermarket,Market E-Komerc
20.6700275,41.1769513,supermarket,Ramstore struga marshal tito
20.6725904,41.1770395,supermarket,KAM Stores
20.6724827,41.1841703,supermarket,GEGA STRUGA
20.6775173,41.180146,supermarket,Tinex struga
20.6788926,41.1815124,supermarket,Балкопром
20.6807065,41.1810013,supermarket,Tinex struga 1
20.680569,41.1810562,supermarket,Тинекс
21.3311181,41.3368744,supermarket,IGA Market
21.5390029,41.3387449,supermarket,Viktorija tabako magacin
21.5400419,41.3384652,supermarket,Aliansa
21.5587427,41.3386149,supermarket,Zito market
20.9745375,41.8379549,supermarket,Вали Маркет
20.9771116,41.8428299,supermarket,Хаџи Кемо
20.9771137,41.842915,supermarket,Nusreti Magjik
21.5490679,41.3502361,supermarket,Fotura 13
21.1759614,41.2327283,supermarket,Supermarket
21.3012831,41.0318267,supermarket,Market Andzhela
21.3089047,41.02582,supermarket,MARKET IN
21.3211694,41.024414,supermarket,БАДО
21.3228577,41.0320861,supermarket,BEKOM
21.3251151,41.0235893,supermarket,ШИК
21.3323992,41.025063,supermarket,Сезам
21.3294655,41.0300125,supermarket,ШИК
21.3366299,41.0255458,department_store,Cinnamon
21.3368232,41.0251856,department_store,Антика
21.3437147,41.0158544,supermarket,Беком
21.0080887,41.0847569,kiosk,MitOil
21.0133908,41.0852775,supermarket,Мицале
21.0134783,41.0852468,supermarket,Нов Пазар
21.0151314,41.0857428,supermarket,KAM market
21.0129214,41.0867663,supermarket,Пазар Ресен
21.0230743,41.0830492,kiosk,Макпетрол
21.0114252,41.0890885,supermarket,Стар пазар
21.0135953,41.0906153,supermarket,Свислион продавнива
21.0117196,41.0977968,kiosk,Макпетрол
20.8603725,41.8782782,supermarket,Маркет
20.9521843,41.5083266,supermarket,Maxi Market
20.9511304,41.5115584,supermarket,Atva
20.9617477,41.5194929,supermarket,Dukla kicevo
