x,y,type,name
21.3317928,42.0030999,convenience,Ta2
21.3515425,42.0021431,bakery,Алекса Демниевски 25
21.4224587,41.9917448,confectionery,Evropa - Centar 4
21.4245297,41.9947907,bakery,Pastel
21.4246696,41.9971292,alcohol,Alkoteka
21.426528,41.9993974,convenience,Агровита МК
21.4268596,42.0003611,bakery,Жито Леб
21.4172538,41.9995856,bakery,Специјал (Универзална Сала)
21.4174292,42.0001055,bakery,Силбо Фурна
21.4182312,41.9983382,bakery,Cake Boutique
21.4201393,41.9993939,bakery,Вршник
21.4229234,41.998251,bakery,Диман
21.4227365,41.9983386,bakery,Ла Делишес
21.4387505,41.9834992,bakery,Бурекџилница Круна
21.4453672,41.991182,bakery,Burek
21.4455764,41.9913694,bakery,Slatki burek
21.4190732,41.9895094,convenience,Mini Market Non-Stop
21.4197865,41.9898813,bakery,Жито
21.4205283,41.9904388,bakery,Sveti Nikole
20.6098044,41.355238,convenience,Mapket
22.589873,42.0204996,convenience,Kid Go
22.5887511,42.0239695,bakery,Balkanluks
22.5886559,42.0245995,convenience,Paket Market
21.4148494,42.0062031,bakery,Slast
