x,y,type,name
21.6186125,41.9371686,restaurant,Kaj Dzek
21.6274047,41.9608168,cafe,Cafe-inn
21.626938,41.9612516,fast_food,Burger King
21.6276146,41.9610488,cafe,Cakes & Bakes
22.4062744,41.9596507,restaurant,Градче
21.4727082,41.9650429,restaurant,Градина
21.0571809,40.9721129,restaurant,Proper
21.1624357,40.9075981,restaurant,Vila Raskrsnica
21.2993843,41.9502955,restaurant,Кањон Матка
21.2954889,41.9584413,cafe,Fresh
21.2952137,41.96002,restaurant,Fish Grill (Macedonian Cave Restaurant)
21.2961533,41.9610975,restaurant,Манастирска пештера
20.8636388,41.9439294,bar,Kafe te mullajni
20.927576,41.9386572,bar,Sinican
20.9266094,41.938956,drinking_water,Voda
20.9267987,41.9403239,cafe,Sharr 71
20.9268824,41.9405207,cafe,Cine 501
20.9270945,41.940898,fast_food,Max Doner
20.9262185,41.9420491,fast_food,Rinia 97
20.9277266,41.9427811,cafe,Mujo
20.9272881,41.9444009,restaurant,Restoran Elita
20.9284227,41.9445205,drinking_water,Voda za pienje
20.929929,41.9485098,restaurant,Niki
20.9398801,41.976507,restaurant,Nes Komerc
22.8186239,41.9752689,restaurant,Рибник Воденица
22.8201711,41.9759762,drinking_water,Fountain with natural water
22.8211477,41.9762515,drinking_water,Света вода
21.4565032,41.9729164,restaurant,Тарапана
21.4820381,41.9782792,restaurant,Ресторан Рагуза 919
21.4853971,41.9755946,restaurant,1 у 1 (Панда)
21.4059587,42.0015351,fast_food,Вили
21.4069546,42.0060914,restaurant,Bonimi
21.4082395,42.0051454,cafe,Cafeteria
21.4061819,42.0062605,bar,Minus Eden
21.4063144,42.0062651,restaurant,Барбакан
21.404147,42.0137478,cafe,Coffeeshop Company lounge
21.4100468,42.0127048,restaurant,Меана Б Јавор Мрзенци
21.4117168,42.0131608,restaurant,Фиш
21.4037096,42.0818924,restaurant,Ribimiluss
21.3979429,42.0034744,fast_food,Tripod King
21.3981384,42.0033204,cafe,Prikazna
21.398346,42.0034224,cafe,Fluid
21.3989291,42.000855,restaurant,Веки
21.3992299,42.0017742,restaurant,Фотка
21.3986642,42.0034137,restaurant,Thong Thai
21.3991821,42.0034483,cafe,Giovani
21.3994796,42.0030494,cafe,Sugarland
21.3999451,42.0031059,cafe,Мартини
21.3995191,42.0031464,restaurant,Енрико
21.3995909,42.0034064,restaurant,Ана Кристи
21.4000902,42.0029952,fast_food,Foodio
21.4002154,42.0030463,restaurant,Бабе
21.4001853,42.0031615,restaurant,Буре
21.4005479,42.0031488,fast_food,7
21.400699,42.0028979,fast_food,Жужу Бургер
21.4012616,42.0032708,fast_food,Magic
21.3970638,42.0038026,cafe,Led Zeppelin
21.3975417,42.0035286,restaurant,Старо Буре
21.4010837,42.0084895,restaurant,бед бунар
21.4020786,42.0065896,fast_food,Etna
21.3990452,42.0151641,cafe,Tonnis Bakeri
21.4014607,42.0162622,biergarten,ветер и магла бифе
21.3508185,42.0299906,restaurant,Meraklii
21.3418406,42.0433297,cafe,Makreshanki
21.3462963,42.0464013,restaurant,Restoran Tomi
21.4378942,42.0131776,cafe,Te Flladi
21.3679919,41.9953546,restaurant,Вила Веранда
21.3602983,42.0110921,bar,КАМИН КАМА
21.3678533,42.0084679,restaurant,Ubac
21.3688665,42.0078535,bar,Hazard Club
21.3695897,42.0078102,fast_food,Пинк
21.4318165,41.9944177,fast_food,BubbleWaffle's
21.4319604,41.9947506,restaurant,Destan
21.4317257,41.9950911,restaurant,Ла Тераца
21.4324491,41.9950653,cafe,Up Cafe
21.4342799,41.9943261,restaurant,Кај Џино
21.4315704,41.9953933,restaurant,Пелистер
21.4320378,41.9957057,pub,Колектив
21.4330712,41.9958677,cafe,Telekom Trend Lounge Bar
21.4335119,41.995703,restaurant,Дион
21.4340509,41.9955386,bar,Етно-бар
21.4342829,41.9954679,pub,Даблинер
21.4341686,41.9955027,pub,Ало ало
21.4338587,41.9955972,restaurant,Соул кичен
21.4352156,41.9951834,pub,Карпе дием
21.4355402,41.9949989,restaurant,Амика
21.4355937,41.9950681,pub,Ирски паб Св. Патрик
21.4343506,41.9954474,pub,Casa Cubana
21.4347685,41.9953199,restaurant,Бела виста
21.4348936,41.9952816,fast_food,Ла Пуерта
21.4350117,41.9952456,restaurant,Плаза де Торос
21.4343571,41.9973371,pub,Lounge Bar Divan
21.434577,41.9973163,restaurant,Sky ресторанот
21.4349757,41.9974686,pub,Lounge Bar Divan
21.4358564,41.9993401,bar,Менада
21.4368849,41.999241,cafe,Old Town
21.4355402,41.9994953,restaurant,Австриска палта
21.4361151,41.9995917,restaurant,СНОШТИ МИНАВ
21.436081,41.9996701,restaurant,Destan
21.4362086,41.9996644,restaurant,Kaj Гоце
21.4362461,41.9996618,restaurant,Kaj Serdarot
21.4363148,41.9996587,bar,tavce gravce
21.4358296,41.9998288,bar,Rakija Bar
21.4358699,42.0000003,cafe,Nargile Cafe
21.4366103,41.9994358,cafe,Clique Bar
21.4366123,41.9995926,restaurant,кај сердарот
21.4366005,42.0000179,restaurant,Пивница АН
21.4367578,41.9999897,bar,beer cafe
21.4361778,42.0002555,cafe,k8
21.4369808,42.0001669,bar,Клуб Капан Ан
21.4367576,42.0003099,restaurant,Туpиcт
21.4371953,42.0002786,restaurant,Pçela
21.4370632,42.0017629,cafe,Cafe Old Bazaar
21.4375923,42.0011325,cafe,Shisha
21.4376398,42.0013523,biergarten,Ла кања
21.4378235,42.001291,bar,Syri
22.2011852,41.7471233,restaurant,Кафе Канал 77
22.4104385,41.9172558,restaurant,Aquarium
22.4105645,41.9172318,cafe,Avangard Cafe
22.4105591,41.9174015,cafe,Klasic Cafe
22.4105671,41.9173176,cafe,Cinema Cafe
22.4105189,41.9175052,cafe,Uni Pub Cafe
22.410527,41.917611,cafe,Pacadili Cafe
22.4104224,41.9176668,restaurant,Капри
22.4107281,41.9176649,cafe,Delikates Cafe
22.4102588,41.918076,restaurant,Balkanlux
22.4101783,41.9187207,restaurant,Bakery Kamel
22.4126749,41.9153295,restaurant,Пролет
22.5058453,41.886544,cafe,Pancir Cafe
22.50587,41.8865523,cafe,Панцир Кафе
22.5103667,41.8881131,bar,Bife Mal Minhen
22.5114929,41.8903339,bar,Bife Mal Minhen
22.1937687,41.7376171,restaurant,Piaza Liberta
22.1942983,41.7382806,pub,Square pub
22.1928555,41.7390109,restaurant,Верона
22.1940792,41.7384717,fast_food,Хамби
22.1943429,41.7385085,cafe,Café Bar Illusion
22.1952544,41.7372052,cafe,Кафе-Бар Симбол
22.1956835,41.7382123,cafe,Сајбер
22.1957213,41.7388923,cafe,Нова Кафе
22.1957776,41.7389133,bar,Версај
22.1959414,41.738556,cafe,Кофи Лаб
22.1963608,41.7386743,fast_food,Стојанче Кубаската
22.1958272,41.7389273,bar,Кафе-Бар Марсеј
22.1958775,41.7389458,bar,Кафе бар Карма
22.1969715,41.7386184,fast_food,Зимбако
22.1966748,41.7388546,restaurant,Кебапчилница Тасе
22.1907365,41.7368287,restaurant,Ресторан Сан-Ремо
22.1921751,41.7368665,pub,Даблин
22.1901494,41.7371339,restaurant,Универзитетски Ресторант
22.1912175,41.7375045,restaurant,Classic Restaurant
22.1921152,41.7371987,cafe,Пијано Бар
22.1931278,41.7370336,restaurant,Наше Кино
22.1932005,41.7370604,cafe,Тафката
22.1933812,41.7371183,fast_food,JA-JA
22.1934589,41.7371381,fast_food,Bambi
22.1938869,41.73738,cafe,Vami Cafe 1
22.1892414,41.735564,drinking_water,Ашај Теќе чешма
20.8894257,41.2434073,restaurant,Dedo Dimo
21.0863428,41.2986459,restaurant,Рибник Бабино
22.2451062,41.6337365,restaurant,Рибник
22.2151154,41.7110243,drinking_water,Струмина Чешма
22.1922397,41.7382087,restaurant,Рома
22.1921774,41.7383603,restaurant,У Сокако
20.6439111,41.0505076,restaurant,Korca
20.8042407,41.0983462,bar,Ambrosia
20.8049971,41.0999773,bar,Kadmo Beach Club
20.8059198,41.1010587,bar,Cuba Libre Beach Club
20.8066006,41.1080463,bar,Pardise
20.8071883,41.1073742,cafe,Liquid
20.807528,41.1069789,restaurant,Ristorante Stazione
20.8039749,41.1104511,restaurant,Ла Бела
20.8052329,41.109536,restaurant,Royal View
20.8056768,41.1090118,pub,Irish Pub Dublin
20.8081755,41.1048119,fast_food,Big Pi
20.8148703,41.1028959,restaurant,Ресторан Биљанини Извори
20.8123651,41.1084477,restaurant,Restoran Gros
20.8157042,41.1259308,restaurant,Ресторан Панорама
20.847073,41.101833,drinking_water,Ponik
21.7686668,41.7098459,cafe,Дома
21.7870287,41.7138225,cafe,Kafe slatkarnica Turist
21.7753509,41.7170862,restaurant,Снупи
21.7775232,41.7176332,restaurant,Официрски
21.7777592,41.7176653,restaurant,Снупи
21.7788314,41.7177173,restaurant,Гостилница Сокаче
21.7828824,41.7176771,fast_food,Ројал
21.7829849,41.717722,cafe,Капри Кафе
